"feature_nm" "activity_nm" "subject_id" "avg__of__means" "avg__of__std_dev"
"fBodyAccMag" "WALKING" 1 -0.128623450629474 -0.398032586842105
"fBodyAccMag" "WALKING" 2 -0.324289427932203 -0.577105211694915
"fBodyAccMag" "WALKING" 3 -0.290031535172414 -0.456373080862069
"fBodyAccMag" "WALKING" 4 -0.450804558333333 -0.651172628166667
"fBodyAccMag" "WALKING" 5 -0.304992488892857 -0.519636926071429
"fBodyAccMag" "WALKING" 6 -0.201386607649123 -0.421683093508772
"fBodyAccMag" "WALKING" 7 -0.151243649578947 -0.351706780526316
"fBodyAccMag" "WALKING" 8 -0.09521728274375 -0.360818978541667
"fBodyAccMag" "WALKING" 9 -0.318801022711538 -0.513891953269231
"fBodyAccMag" "WALKING" 10 -0.0930237422792453 -0.370471943962264
"fBodyAccMag" "WALKING" 11 -0.458514062542373 -0.584455992033898
"fBodyAccMag" "WALKING" 12 -0.153116002784 -0.4088962994
"fBodyAccMag" "WALKING" 13 -0.23460086645614 -0.438388953157895
"fBodyAccMag" "WALKING" 14 -0.373516771016949 -0.457490009491525
"fBodyAccMag" "WALKING" 15 -0.275156242062037 -0.458344792407407
"fBodyAccMag" "WALKING" 16 -0.410463241960784 -0.592150985098039
"fBodyAccMag" "WALKING" 17 -0.429380043442623 -0.565162507704918
"fBodyAccMag" "WALKING" 18 -0.424386734107143 -0.565563056964286
"fBodyAccMag" "WALKING" 19 0.0322272296217308 -0.324793406057692
"fBodyAccMag" "WALKING" 20 -0.00353341793921569 -0.389934004313725
"fBodyAccMag" "WALKING" 21 -0.251266388923077 -0.438149791153846
"fBodyAccMag" "WALKING" 22 -0.0241584964891304 -0.381399308043478
"fBodyAccMag" "WALKING" 23 -0.0942606311677966 -0.407577515762712
"fBodyAccMag" "WALKING" 24 -0.434618912068966 -0.590265845517241
"fBodyAccMag" "WALKING" 25 -0.566060023108108 -0.632927475540541
"fBodyAccMag" "WALKING" 26 -0.379836742711864 -0.537183967118644
"fBodyAccMag" "WALKING" 27 -0.327229405789474 -0.550392604912281
"fBodyAccMag" "WALKING" 28 -0.352156841666667 -0.511573670555556
"fBodyAccMag" "WALKING" 29 -0.235683305566038 -0.393257505471698
"fBodyAccMag" "WALKING" 30 -0.342363772923077 -0.469852794923077
"fBodyAccMag" "WALKING_UPSTAIRS" 1 -0.352395944716981 -0.416260101509434
"fBodyAccMag" "WALKING_UPSTAIRS" 2 -0.14531853915625 -0.36672824375
"fBodyAccMag" "WALKING_UPSTAIRS" 3 -0.315866079491525 -0.447994369152542
"fBodyAccMag" "WALKING_UPSTAIRS" 4 -0.276825498230769 -0.301005898461538
"fBodyAccMag" "WALKING_UPSTAIRS" 5 -0.169261525 -0.254091927148936
"fBodyAccMag" "WALKING_UPSTAIRS" 6 -0.0819479396203922 -0.222161433666667
"fBodyAccMag" "WALKING_UPSTAIRS" 7 -0.378618761568627 -0.415307106666667
"fBodyAccMag" "WALKING_UPSTAIRS" 8 -0.13026451905122 -0.409282851707317
"fBodyAccMag" "WALKING_UPSTAIRS" 9 -0.372890348979592 -0.509929461428571
"fBodyAccMag" "WALKING_UPSTAIRS" 10 -0.166866721574468 -0.361437534680851
"fBodyAccMag" "WALKING_UPSTAIRS" 11 -0.336061027407407 -0.376027878888889
"fBodyAccMag" "WALKING_UPSTAIRS" 12 -0.290005418653846 -0.395285130961538
"fBodyAccMag" "WALKING_UPSTAIRS" 13 -0.367522800909091 -0.409065516363636
"fBodyAccMag" "WALKING_UPSTAIRS" 14 -0.0759851813333333 -0.143253889222222
"fBodyAccMag" "WALKING_UPSTAIRS" 15 -0.165242147958333 -0.255659340833333
"fBodyAccMag" "WALKING_UPSTAIRS" 16 -0.370649738235294 -0.418924256078431
"fBodyAccMag" "WALKING_UPSTAIRS" 17 -0.150305643291667 -0.217393170604167
"fBodyAccMag" "WALKING_UPSTAIRS" 18 -0.436561064482759 -0.436218933448276
"fBodyAccMag" "WALKING_UPSTAIRS" 19 -0.07962876322 -0.368253499
"fBodyAccMag" "WALKING_UPSTAIRS" 20 -0.205009295196078 -0.320241012294118
"fBodyAccMag" "WALKING_UPSTAIRS" 21 -0.257894449148936 -0.403357611702128
"fBodyAccMag" "WALKING_UPSTAIRS" 22 -0.0866905123880952 -0.334126221428571
"fBodyAccMag" "WALKING_UPSTAIRS" 23 -0.231382662235294 -0.410047643333333
"fBodyAccMag" "WALKING_UPSTAIRS" 24 -0.322300989322034 -0.406283377627119
"fBodyAccMag" "WALKING_UPSTAIRS" 25 -0.527907561538462 -0.536120293230769
"fBodyAccMag" "WALKING_UPSTAIRS" 26 -0.167566383372727 -0.274226227272727
"fBodyAccMag" "WALKING_UPSTAIRS" 27 -0.393928937058824 -0.468707734509804
"fBodyAccMag" "WALKING_UPSTAIRS" 28 -0.213519364760784 -0.334626168823529
"fBodyAccMag" "WALKING_UPSTAIRS" 29 -0.108306402963265 -0.155993755897959
"fBodyAccMag" "WALKING_UPSTAIRS" 30 -0.400588353846154 -0.394508080769231
"fBodyAccMag" "WALKING_DOWNSTAIRS" 1 0.0965845343040816 -0.186530301073469
"fBodyAccMag" "WALKING_DOWNSTAIRS" 2 0.293424826591489 -0.0214787881723404
"fBodyAccMag" "WALKING_DOWNSTAIRS" 3 0.0289413195612245 -0.233849422120408
